cord_uid,source_x,title,abstract,authors,url
a22s8xyz,PMC,A Three-Stemmed mRNA Pseudoknot in the SARS Coronavirus Frameshift Signal,"A wide range of RNA viruses use programmed −1 ribosomal frameshifting for the production of viral fusion proteins. Inspection of the overlap regions between ORF1a and ORF1b of the SARS-CoV genome revealed that, similar to all coronaviruses, a programmed −1 ribosomal frameshift could be used by the virus to produce a fusion protein. Computational analyses of the frameshift signal predicted the presence of an mRNA pseudoknot containing three double-stranded RNA stem structures rather than two. Phylogenetic analyses showed the conservation of potential three-stemmed pseudoknots in the frameshift signals of all other coronaviruses in the GenBank database. Though the presence of the three-stemmed structure is supported by nuclease mapping and two-dimensional nuclear magnetic resonance studies, our findings suggest that interactions between the stem structures may result in local distortions in the A-form RNA. These distortions are particularly evident in the vicinity of predicted A-bulges in stems 2 and 3. In vitro and in vivo frameshifting assays showed that the SARS-CoV frameshift signal is functionally similar to other viral frameshift signals: it promotes efficient frameshifting in all of the standard assay systems, and it is sensitive to a drug and a genetic mutation that are known to affect frameshifting efficiency of a yeast virus. Mutagenesis studies reveal that both the specific sequences and structures of stems 2 and 3 are important for efficient frameshifting. We have identified a new RNA structural motif that is capable of promoting efficient programmed ribosomal frameshifting. The high degree of conservation of three-stemmed mRNA pseudoknot structures among the coronaviruses suggests that this presents a novel target for antiviral therapeutics.","Plant, Ewan P; Pérez-Alvarado, Gabriela C; Jacobs, Jonathan L; Mukhopadhyay, Bani; Hennig, Mirko; Dinman, Jonathan D",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1110908/
azkamnpa,PMC,The Microbial Rosetta Stone Database: A compilation of global and emerging infectious microorganisms and bioterrorist threat agents,"BACKGROUND: Thousands of different microorganisms affect the health, safety, and economic stability of populations. Many different medical and governmental organizations have created lists of the pathogenic microorganisms relevant to their missions; however, the nomenclature for biological agents on these lists and pathogens described in the literature is inexact. This ambiguity can be a significant block to effective communication among the diverse communities that must deal with epidemics or bioterrorist attacks. RESULTS: We have developed a database known as the Microbial Rosetta Stone. The database relates microorganism names, taxonomic classifications, diseases, specific detection and treatment protocols, and relevant literature. The database structure facilitates linkage to public genomic databases. This paper focuses on the information in the database for pathogens that impact global public health, emerging infectious organisms, and bioterrorist threat agents. CONCLUSION: The Microbial Rosetta Stone is available at . The database provides public access to up-to-date taxonomic classifications of organisms that cause human diseases, improves the consistency of nomenclature in disease reporting, and provides useful links between different public genomic and public health databases.","Ecker, David J; Sampath, Rangarajan; Willett, Paul; Wyatt, Jacqueline R; Samant, Vivek; Massire, Christian; Hall, Thomas A; Hari, Kumar; McNeil, John A; Büchen-Osmond, Cornelia; Budowle, Bruce",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1127111/
r8j6lhoc,PMC,HIV Epidemiology in Africa: Weak Variables and Tendentiousness Generate Wobbly Conclusions,,"Brody, Stuart; Potterat, John J",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1140948/
0svscbpu,PMC,"Inhibition of SARS-CoV 3C-like Protease Activity by Theaflavin-3,3′-digallate (TF3)","SARS-CoV is the causative agent of severe acute respiratory syndrome (SARS). The virally encoded 3C-like protease (3CL(Pro)) has been presumed critical for the viral replication of SARS-CoV in infected host cells. In this study, we screened a natural product library consisting of 720 compounds for inhibitory activity against 3CL(Pro). Two compounds in the library were found to be inhibitive: tannic acid (IC(50) = 3 µM) and 3-isotheaflavin-3-gallate (TF2B) (IC(50) = 7 µM). These two compounds belong to a group of natural polyphenols found in tea. We further investigated the 3CL(Pro)-inhibitory activity of extracts from several different types of teas, including green tea, oolong tea, Puer tea and black tea. Our results indicated that extracts from Puer and black tea were more potent than that from green or oolong teas in their inhibitory activities against 3CL(Pro). Several other known compositions in teas were also evaluated for their activities in inhibiting 3CL(Pro). We found that caffeine, (—)-epigallocatechin gallte (EGCg), epicatechin (EC), theophylline (TP), catechin (C), epicatechin gallate (ECg) and epigallocatechin (EGC) did not inhibit 3CL(Pro) activity. Only theaflavin-3,3′-digallate (TF3) was found to be a 3CL(Pro) inhibitor. This study has resulted in the identification of new compounds that are effective 3CL(Pro) inhibitors.","Chen, Chia-Nan; Lin, Coney P. C.; Huang, Kuo-Kuei; Chen, Wei-Cheng; Hsieh, Hsin-Pang; Liang, Po-Huang; Hsu, John T.-A.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1142193/
9ijlj4so,PMC,Receptor and viral determinants of SARS-coronavirus adaptation to human ACE2,"Human angiotensin-converting enzyme 2 (ACE2) is a functional receptor for SARS coronavirus (SARS-CoV). Here we identify the SARS-CoV spike (S)-protein-binding site on ACE2. We also compare S proteins of SARS-CoV isolated during the 2002–2003 SARS outbreak and during the much less severe 2003–2004 outbreak, and from palm civets, a possible source of SARS-CoV found in humans. All three S proteins bound to and utilized palm-civet ACE2 efficiently, but the latter two S proteins utilized human ACE2 markedly less efficiently than did the S protein obtained during the earlier human outbreak. The lower affinity of these S proteins could be complemented by altering specific residues within the S-protein-binding site of human ACE2 to those of civet ACE2, or by altering S-protein residues 479 and 487 to residues conserved during the 2002–2003 outbreak. Collectively, these data describe molecular interactions important to the adaptation of SARS-CoV to human cells, and provide insight into the severity of the 2002–2003 SARS epidemic.","Li, Wenhui; Zhang, Chengsheng; Sui, Jianhua; Kuhn, Jens H; Moore, Michael J; Luo, Shiwen; Wong, Swee-Kee; Huang, I-Chueh; Xu, Keming; Vasilieva, Natalya; Murakami, Akikazu; He, Yaqing; Marasco, Wayne A; Guan, Yi; Choe, Hyeryun; Farzan, Michael",http://europepmc.org/articles/pmc1142572?pdf=render
yz2wbpuu,PMC,Globalization and Health,"This debut editorial of Globalization and Health introduces the journal, briefly delineating its goals and objectives and outlines its scope of subject matter. 'Open Access' publishing is expected to become an increasingly important format for peer reviewed academic journals and that Globalization and Health is 'Open Access' is appropriate. The rationale behind starting a journal dedicated to globalization and health is three fold: Firstly: Globalization is reshaping the social geography within which we might strive to create health or prevent disease. The determinants of health – be they a SARS virus or a predilection for fatty foods – have joined us in our global mobility. Driven by economic liberalization and changing technologies, the phenomenon of 'access' is likely to dominate to an increasing extent the unfolding experience of human disease and wellbeing. Secondly: Understanding globalization as a subject matter itself needs certain benchmarks and barometers of its successes and failings. Health is one such barometer. It is a marker of social infrastructure and social welfare and as such can be used to either sound an alarm or give a victory cheer as our interconnectedness hurts and heals the populations we serve. And lastly: In as much as globalization can have an effect on health, it is also true that health and disease has an effect on globalization as exemplified by the existence of quarantine laws and the devastating economic effects of the AIDS pandemic. A balanced view would propose that the effects of globalization on health (and health systems) are neither universally good nor bad, but rather context specific. If the dialogue pertaining to globalization is to be directed or biased in any direction, then it must be this: that we consider the poor first.","Martin, Greg",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1143779/
0brhn8oc,PMC,Pseudoknots: RNA Structures with Diverse Functions,"Just as proteins form distinct structural motifs, certain structures are commonly adopted by RNA molecules. Amongst the most prevalent is the RNA pseudoknot.","Staple, David W; Butcher, Samuel E",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1149493/
0x1jhya6,PMC,Three-dimensional structure of the bacteriophage P22 tail machine,"The tail of the bacteriophage P22 is composed of multiple protein components and integrates various biological functions that are crucial to the assembly and infection of the phage. The three-dimensional structure of the P22 tail machine determined by electron cryo-microscopy and image reconstruction reveals how the five types of polypeptides present as 51 subunits are organized into this molecular machine through twelve-, six- and three-fold symmetry, and provides insights into molecular events during host cell attachment and phage DNA translocation.","Tang, Liang; Marion, William R; Cingolani, Gino; Prevelige, Peter E; Johnson, John E",http://europepmc.org/articles/pmc1150889?pdf=render
tv1fx7sy,PMC,Integration of the Gene Ontology into an object-oriented architecture,"BACKGROUND: To standardize gene product descriptions, a formal vocabulary defined as the Gene Ontology (GO) has been developed. GO terms have been categorized into biological processes, molecular functions, and cellular components. However, there is no single representation that integrates all the terms into one cohesive model. Furthermore, GO definitions have little information explaining the underlying architecture that forms these terms, such as the dynamic and static events occurring in a process. In contrast, object-oriented models have been developed to show dynamic and static events. A portion of the TGF-beta signaling pathway, which is involved in numerous cellular events including cancer, differentiation and development, was used to demonstrate the feasibility of integrating the Gene Ontology into an object-oriented model. RESULTS: Using object-oriented models we have captured the static and dynamic events that occur during a representative GO process, ""transforming growth factor-beta (TGF-beta) receptor complex assembly"" (GO:0007181). CONCLUSION: We demonstrate that the utility of GO terms can be enhanced by object-oriented technology, and that the GO terms can be integrated into an object-oriented model by serving as a basis for the generation of object functions and attributes.","Shegogue, Daniel; Zheng, W Jim",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1156866/
ckby80vf,PMC,Software for optimization of SNP and PCR-RFLP genotyping to discriminate many genomes with the fewest assays,"BACKGROUND: Microbial forensics is important in tracking the source of a pathogen, whether the disease is a naturally occurring outbreak or part of a criminal investigation. RESULTS: A method and SPR Opt (SNP and PCR-RFLP Optimization) software to perform a comprehensive, whole-genome analysis to forensically discriminate multiple sequences is presented. Tools for the optimization of forensic typing using Single Nucleotide Polymorphism (SNP) and PCR-Restriction Fragment Length Polymorphism (PCR-RFLP) analyses across multiple isolate sequences of a species are described. The PCR-RFLP analysis includes prediction and selection of optimal primers and restriction enzymes to enable maximum isolate discrimination based on sequence information. SPR Opt calculates all SNP or PCR-RFLP variations present in the sequences, groups them into haplotypes according to their co-segregation across those sequences, and performs combinatoric analyses to determine which sets of haplotypes provide maximal discrimination among all the input sequences. Those set combinations requiring that membership in the fewest haplotypes be queried (i.e. the fewest assays be performed) are found. These analyses highlight variable regions based on existing sequence data. These markers may be heterogeneous among unsequenced isolates as well, and thus may be useful for characterizing the relationships among unsequenced as well as sequenced isolates. The predictions are multi-locus. Analyses of mumps and SARS viruses are summarized. Phylogenetic trees created based on SNPs, PCR-RFLPs, and full genomes are compared for SARS virus, illustrating that purported phylogenies based only on SNP or PCR-RFLP variations do not match those based on multiple sequence alignment of the full genomes. CONCLUSION: This is the first software to optimize the selection of forensic markers to maximize information gained from the fewest assays, accepting whole or partial genome sequence data as input. As more sequence data becomes available for multiple strains and isolates of a species, automated, computational approaches such as those described here will be essential to make sense of large amounts of information, and to guide and optimize efforts in the laboratory. The software and source code for SPR Opt is publicly available and free for non-profit use at .","Gardner, Shea N; Wagner, Mark C",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1156889/
jz61fxpn,PMC,CXCR2 is critical for dsRNA-induced lung injury: relevance to viral lung infection,"BACKGROUND: Respiratory viral infections are characterized by the infiltration of leukocytes, including activated neutrophils into the lung that can lead to sustained lung injury and potentially contribute to chronic lung disease. Specific mechanisms recruiting neutrophils to the lung during virus-induced lung inflammation and injury have not been fully elucidated. Since CXCL1 and CXCL2/3, acting through CXCR2, are potent neutrophil chemoattractants, we investigated their role in dsRNA-induced lung injury, where dsRNA (Poly IC) is a well-described synthetic agent mimicking acute viral infection. METHODS: We used 6–8 week old female BALB/c mice to intratracheally inject either single-stranded (ssRNA) or double-stranded RNA (dsRNA) into the airways. The lungs were then harvested at designated timepoints to characterize the elicited chemokine response and resultant lung injury following dsRNA exposure as demonstrated qualititatively by histopathologic analysis, and quantitatively by FACS, protein, and mRNA analysis of BAL fluid and tissue samples. We then repeated the experiments by first pretreating mice with an anti-PMN or corresponding control antibody, and then subsequently pretreating a separate cohort of mice with an anti-CXCR2 or corresponding control antibody prior to dsRNA exposure. RESULTS: Intratracheal dsRNA led to significant increases in neutrophil infiltration and lung injury in BALB/c mice at 72 h following dsRNA, but not in response to ssRNA (Poly C; control) treatment. Expression of CXCR2 ligands and CXCR2 paralleled neutrophil recruitment to the lung. Neutrophil depletion studies significantly reduced neutrophil infiltration and lung injury in response to dsRNA when mice were pretreated with an anti-PMN monoclonal Ab. Furthermore, inhibition of CXCR2 ligands/CXCR2 interaction by pretreating dsRNA-exposed mice with an anti-CXCR2 neutralizing Ab also significantly attenuated neutrophil sequestration and lung injury. CONCLUSION: These findings demonstrate that CXC chemokine ligand/CXCR2 biological axis is critical during the pathogenesis of dsRNA-induced lung injury relevant to acute viral infections.","Londhe, Vedang A; Belperio, John A; Keane, Michael P; Burdick, Marie D; Xue, Ying Ying; Strieter, Robert M",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1156932/
ln8ddyuj,PMC,Persistence of lung inflammation and lung cytokines with high-resolution CT abnormalities during recovery from SARS,"BACKGROUND: During the acute phase of severe acute respiratory syndrome (SARS), mononuclear cells infiltration, alveolar cell desquamation and hyaline membrane formation have been described, together with dysregulation of plasma cytokine levels. Persistent high-resolution computed tomography (HRCT) abnormalities occur in SARS patients up to 40 days after recovery. METHODS: To determine further the time course of recovery of lung inflammation, we investigated the HRCT and inflammatory profiles, and coronavirus persistence in bronchoalveolar lavage fluid (BALF) of 12 patients at recovery at 60 and 90 days. RESULTS: At 60 days, compared to normal controls, SARS patients had increased cellularity of BALF with increased alveolar macrophages (AM) and CD8 cells. HRCT scores were increased and correlated with T-cell numbers and their subpopulations, and inversely with CD4/CD8 ratio. TNF-α, IL-6, IL-8, RANTES and MCP-1 levels were increased. Viral particles in AM were detected by electron microscopy in 7 of 12 SARS patients with high HRCT score. On day 90, HRCT scores improved significantly in 10 of 12 patients, with normalization of BALF cell counts in 6 of 12 patients with repeat bronchoscopy. Pulse steroid therapy and prolonged fever were two independent factors associated with delayed resolution of pneumonitis, in this non-randomized, retrospective analysis. CONCLUSION: Resolution of pneumonitis is delayed in some patients during SARS recovery and may be associated with delayed clearance of coronavirus, Complete resolution may occur by 90 days or later.","Wang, Chun-Hua; Liu, Chien-Ying; Wan, Yung-Liang; Chou, Chun-Liang; Huang, Kuo-Hsiung; Lin, Horng-Chyuan; Lin, Shu-Min; Lin, Tzou-Yien; Chung, Kian Fan; Kuo, Han-Pin",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1156954/
y0wf456f,PMC,"PRED(BALB/c): a system for the prediction of peptide binding to H2(d) molecules, a haplotype of the BALB/c mouse","PRED(BALB/c) is a computational system that predicts peptides binding to the major histocompatibility complex-2 (H2(d)) of the BALB/c mouse, an important laboratory model organism. The predictions include the complete set of H2(d) class I (H2-K(d), H2-L(d) and H2-D(d)) and class II (I-E(d) and I-A(d)) molecules. The prediction system utilizes quantitative matrices, which were rigorously validated using experimentally determined binders and non-binders and also by in vivo studies using viral proteins. The prediction performance of PRED(BALB/c) is of very high accuracy. To our knowledge, this is the first online server for the prediction of peptides binding to a complete set of major histocompatibility complex molecules in a model organism (H2(d) haplotype). PRED(BALB/c) is available at .","Zhang, Guang Lan; Srinivasan, Kellathur N.; Veeramani, Anitha; August, J. Thomas; Brusic, Vladimir",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1160239/
x8zdlml2,PMC,GENSTYLE: exploration and analysis of DNA sequences with genomic signature,"GENSTYLE () is a workspace designed for the characterization and classification of nucleotide sequences. Based on the genomic signature paradigm, GENSTYLE focuses on oligonucleotide frequencies in DNA sequences. Users can select sequences of interest in the GENSTYLE companion database, where the whole set of GenBank sequences is grouped per species, or upload their own sequences to work with. Tools for the exploration and analysis of signatures allow (i) identification of the origin of DNA segments (detection of rare species or species for which technical problems prevent fast characterization, such as micro-organisms with slow growth), (ii) analysis of the homogeneity of a genome and isolation of areas with novel functionality (horizontal transfers for example) – and (iii) molecular phylogeny and taxonomy.","Fertil, Bernard; Massin, Matthieu; Lespinats, Sylvain; Devic, Caroline; Dumee, Philippe; Giron, Alain",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1160249/
e1iaiwc6,PMC,A Severe Acute Respiratory Syndrome extranet: supporting local communication and information dissemination,"BACKGROUND: The objective of this study was to explore the use and perceptions of a local Severe Acute Respiratory Syndrome (SARS) Extranet and its potential to support future information and communication applications. The SARS Extranet was a single, managed electronic and limited access system to manage local, provincial and other SARS control information. METHODS: During July, 2003, a web-based and paper-based survey was conducted with 53 SARS Steering Committee members in Hamilton. It assessed the use and perceptions of the Extranet that had been built to support the committee during the SARS outbreak. Before distribution, the survey was user-tested based on a think-aloud protocol, and revisions were made. Quantitative and qualitative questions were asked related to frequency of use of the Extranet, perceived overall usefulness of the resource, rationale for use, potential barriers, strengths and limitations, and potential future uses of the Extranet. RESULTS: The response rate was 69.4% (n = 34). Of all respondents, 30 (88.2%) reported that they had visited the site, and rated it highly overall (mean = 4.0; 1 = low to 5 = high). However, the site was rated 3.4 compared with other communications strategies used during the outbreak. Almost half of all respondents (44.1%) visited the site at least once every few days. The two most common reasons the 30 respondents visited the Extranet were to access SARS Steering Committee minutes (63.3%) and to access Hamilton medical advisories (53.3%). The most commonly cited potential future uses for the Extranet were the sending of private emails to public health experts (63.3%), and surveillance (63.3%). No one encountered personal barriers in his or her use of the site, but several mentioned that time and duplication of email information were challenges. CONCLUSION: Despite higher rankings of various communication strategies during the SARS outbreak, such as email, meetings, teleconferences, and other web sites, users generally perceived a local Extranet as a useful support for the dissemination of local information during public health emergencies.","Valaitis, Ruta K; Akhtar-Danesh, Noori; Kealey, Cathy M; Brunetti, Glenn M; Thomas, Helen",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1166558/
kvhoa2se,PMC,The 'polysemous' codon--a codon with multiple amino acid assignment caused by dual specificity of tRNA identity.,"In some Candida species, the universal CUG leucine codon is translated as serine. However, in most cases, the serine tRNAs responsible for this non-universal decoding (tRNA(Ser)CAG) accept in vitro not only serine, but also, to some extent, leucine. Nucleotide replacement experiments indicated that m1G37 is critical for leucylation activity. This finding was supported by the fact that the tRNA(Ser)CAGs possessing the leucylation activity always have m1G37, whereas that of Candida cylindracea, which possesses no leucylation activity, has A37. Quantification of defined aminoacetylated tRNAs in cells demonstrated that 3% of the tRNA(Ser)CAGs possessing m1G37 were, in fact, charged with leucine in vivo. A genetic approach using an auxotroph mutant of C.maltosa possessing this type of tRNA(Ser)CAG also suggested that the URA3 gene inactivated due to the translation of CUG as serine was rescued by a slight incorporation of leucine into the polypeptide, which demonstrated that the tRNA charged with multiple amino acids could participate in the translation. These findings provide the first evidence that two distinct amino acids are assigned by a single codon, which occurs naturally in the translation process of certain Candida species. We term this novel type of codon a 'polysemous codon'.","Suzuki, T; Ueda, T; Watanabe, K",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1169711/
sfue9fdb,PMC,Dissecting RNA recombination in vitro: role of RNA sequences and the viral replicase.,"Molecular mechanisms of RNA recombination were studied in turnip crinkle carmovirus (TCV), which has a uniquely high recombination frequency and non-random crossover site distribution among the recombining TCV-associated satellite RNAs. To test the previously proposed replicase-driven template-switching mechanism for recombination, a partially purified TCV replicase preparation (RdRp) was programed with RNAs resembling the putative in vivo recombination intermediates. Analysis of the in vitro RdRp products revealed efficient generation of 3'-terminal extension products. Initiation of 3'-terminal extension occurred at or close to the base of a hairpin that was a recombination hotspot in vivo. Efficient generation of the 3'-terminal extension products depended on two factors: (i) a hairpin structure in the acceptor RNA region and (ii) a short base-paired region formed between the acceptor RNA and the nascent RNA synthesized from the donor RNA template. The hairpin structure bound to the RdRp, and thus is probably involved in its recruitment. The probable role of the base-paired region is to hold the 3' terminus near the RdRp bound to the hairpin structure to facilitate 3'-terminal extension. These regions were also required for in vivo RNA recombination between TCV-associated sat-RNA C and sat-RNA D, giving crucial and direct support for a replicase-driven template-switching mechanism of RNA recombination.","Nagy, P D; Zhang, C; Simon, A E",http://europepmc.org/articles/pmc1170582?pdf=render
o360an6f,PMC,RNA elements required for RNA recombination function as replication enhancers in vitro and in vivo in a plus‐strand RNA virus,"RNA replication requires cis‐acting elements to recruit the viral RNA‐dependent RNA polymerase (RdRp) and facilitate de novo initiation of complementary strand synthesis. Hairpins that are hot spots for recombination in the genomic RNA of turnip crinkle virus (TCV) and satellite (sat)‐RNA C, a parasitic RNA associated with TCV infections, stimulate RNA synthesis 10‐fold from a downstream promoter sequence in an in vitro assay using partially purified TCV RdRp. Artificial hairpins had an inhibitory effect on transcription. RNA accumulation in single cells was enhanced 5‐ to 10‐fold when the natural stem‐loop structures were inserted into a poorly accumulating sat‐RNA. The effect of the stem‐loop structures on RNA replication was additive, with insertion of three stem‐loop RNA elements increasing sat‐RNA accumulation to the greatest extent (25‐fold). These stem‐loop structures do not influence the stability of the RNAs in vivo, but may serve to recruit the RdRp to the template.","Nagy, Peter D.; Pogany, Judit; Simon, Anne E.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1171632/
cgl34ykt,PMC,A universal BMV-based RNA recombination system—how to search for general rules in RNA recombination,"At present, there is no doubt that RNA recombination is one of the major factors responsible for the generation of new RNA viruses and retroviruses. Numerous experimental systems have been created to investigate this complex phenomenon. Consequently, specific RNA structural motifs mediating recombination have been identified in several viruses. Unfortunately, up till now a unified model of genetic RNA recombination has not been formulated, mainly due to difficulties with the direct comparison of data obtained for different RNA-based viruses. To solve this problem, we have attempted to construct a universal system in which the recombination activity of various RNA sequences could be tested. To this end, we have used brome mosaic virus, a model (+)RNA virus of plants, for which the structural requirements of RNA recombination are well defined. The effectiveness of the new homomolecular system has been proven in an experiment involving two RNA sequences derived from the hepatitis C virus genome. In addition, comparison of the data obtained with the homomolecular system with those generated earlier using the heteromolecular one has provided new evidence that the mechanisms of homologous and non-homologous recombination are different and depend on the virus' mode of replication.","Alejska, Magdalena; Figlerowicz, Magdalena; Malinowska, Nelli; Urbanowicz, Anna; Figlerowicz, Marek",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1174899/
fooovon8,PMC,Engendering enthusiasm for sustainable disaster critical care response: why this is of consequence to critical care professionals?,"Disaster medical response has historically focused on the pre-hospital and initial treatment needs of casualties. In particular, the critical care component of many disaster response plans is incomplete. Equally important, routinely available critical care resources are almost always insufficient to respond to disasters that generate anything beyond a 'modest' casualty stream. Large-scale monetary funding to effectively remedy these shortfalls is unavailable. Education, training, and improved planning are our most effective initial steps. We suggest several areas for further development, including dual usage of resources that may specifically augment critical care disaster medical capabilities over time.","Dara, Saqib I; Ashton, Rendell W; Farmer, J Christopher",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1175928/
pyam9yn3,PMC,Biochip sensors for the rapid and sensitive detection of viral disease,Recent advances in DNA and protein microarray methodology and the emerging technology of cell-based sensors have massively increased the speed and sensitivity with which we can detect viral infections. The advantages of the multi-parameter microarray technologies could be combined with the speed and sensitivity of cell-based systems to give 'cell-omic' sensors.,"Livingston, Andrew D; Campbell, Colin J; Wagner, Edward K; Ghazal, Peter",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1175961/
zc491h8v,PMC,Peptide inhibitors of dengue virus and West Nile virus infectivity,"Viral fusion proteins mediate cell entry by undergoing a series of conformational changes that result in virion-target cell membrane fusion. Class I viral fusion proteins, such as those encoded by influenza virus and human immunodeficiency virus (HIV), contain two prominent alpha helices. Peptides that mimic portions of these alpha helices inhibit structural rearrangements of the fusion proteins and prevent viral infection. The envelope glycoprotein (E) of flaviviruses, such as West Nile virus (WNV) and dengue virus (DENV), are class II viral fusion proteins comprised predominantly of beta sheets. We used a physio-chemical algorithm, the Wimley-White interfacial hydrophobicity scale (WWIHS) [1] in combination with known structural data to identify potential peptide inhibitors of WNV and DENV infectivity that target the viral E protein. Viral inhibition assays confirm that several of these peptides specifically interfere with target virus entry with 50% inhibitory concentration (IC50) in the 10 μM range. Inhibitory peptides similar in sequence to domains with a significant WWIHS scores, including domain II (IIb), and the stem domain, were detected. DN59, a peptide corresponding to the stem domain of DENV, inhibited infection by DENV (>99% inhibition of plaque formation at a concentrations of <25 μM) and cross-inhibition of WNV fusion/infectivity (>99% inhibition at <25 μM) was also demonstrated with DN59. However, a potent WNV inhibitory peptide, WN83, which corresponds to WNV E domain IIb, did not inhibit infectivity by DENV. Additional results suggest that these inhibitory peptides are noncytotoxic and act in a sequence specific manner. The inhibitory peptides identified here can serve as lead compounds for the development of peptide drugs for flavivirus infection.","Hrobowski, Yancey M; Garry, Robert F; Michael, Scott F",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1177995/
ajlctjeb,PMC,"Neutrophil elastase, an acid-independent serine protease, facilitates reovirus uncoating and infection in U937 promonocyte cells","BACKGROUND: Mammalian reoviruses naturally infect their hosts through the enteric and respiratory tracts. During enteric infections, proteolysis of the reovirus outer capsid protein σ3 is mediated by pancreatic serine proteases. In contrast, the proteases critical for reovirus replication in the lung are unknown. Neutrophil elastase (NE) is an acid-independent, inflammatory serine protease predominantly expressed by neutrophils. In addition to its normal role in microbial defense, aberrant expression of NE has been implicated in the pathology of acute respiratory distress syndrome (ARDS). Because reovirus replication in rodent lungs causes ARDS-like symptoms and induces an infiltration of neutrophils, we investigated the capacity of NE to promote reovirus virion uncoating. RESULTS: The human promonocyte cell line U937 expresses NE. Treatment of U937 cells with the broad-spectrum cysteine-protease inhibitor E64 [trans-epoxysuccinyl-L-leucylamido-(4-guanidino)butane] and with agents that increase vesicular pH did not inhibit reovirus replication. Even when these inhibitors were used in combination, reovirus replicated to significant yields, indicating that an acid-independent non-cysteine protease was capable of mediating reovirus uncoating in U937 cell cultures. To identify the protease(s) responsible, U937 cells were treated with phorbol 12-myristate 13-acetate (PMA), an agent that induces cellular differentiation and results in decreased expression of acid-independent serine proteases, including NE and cathepsin (Cat) G. In the presence of E64, reovirus did not replicate efficiently in PMA-treated cells. To directly assess the role of NE in reovirus infection of U937 cells, we examined viral growth in the presence of N-Ala-Ala-Pro-Val chloromethylketone, a NE-specific inhibitor. Reovirus replication in the presence of E64 was significantly reduced by treatment of cells with the NE inhibitor. Incubation of virions with purified NE resulted in the generation of infectious subviron particles that did not require additional intracellular proteolysis. CONCLUSION: Our findings reveal that NE can facilitate reovirus infection. The fact that it does so in the presence of agents that raise vesicular pH supports a model in which the requirement for acidic pH during infection reflects the conditions required for optimal protease activity. The capacity of reovirus to exploit NE may impact viral replication in the lung and other tissues during natural infections.","Golden, Joseph W; Schiff, Leslie A",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1180477/
ff7dg890,PMC,Appropriate Models for the Management of Infectious Diseases,"BACKGROUND: Mathematical models have become invaluable management tools for epidemiologists, both shedding light on the mechanisms underlying observed dynamics as well as making quantitative predictions on the effectiveness of different control measures. Here, we explain how substantial biases are introduced by two important, yet largely ignored, assumptions at the core of the vast majority of such models. METHODS AND FINDINGS: First, we use analytical methods to show that (i) ignoring the latent period or (ii) making the common assumption of exponentially distributed latent and infectious periods (when including the latent period) always results in underestimating the basic reproductive ratio of an infection from outbreak data. We then proceed to illustrate these points by fitting epidemic models to data from an influenza outbreak. Finally, we document how such unrealistic a priori assumptions concerning model structure give rise to systematically overoptimistic predictions on the outcome of potential management options. CONCLUSION: This work aims to highlight that, when developing models for public health use, we need to pay careful attention to the intrinsic assumptions embedded within classical frameworks.","Wearing, Helen J; Rohani, Pejman; Keeling, Matt J",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1181873/
